appliance_name,power_rating_watts,daily_usage_hours,star_rating,appliance_age_years,household_size,location_type,income_level,season,usage_pattern,daily_consumption_kwh,monthly_bill
Refrigerator,247,10.225644227538243,1,10,2,Urban,Medium,Winter,Weekend,2.8793369015902184,7568.187262129401
Washing Machine,500,0.501748423076176,1,7,2,Urban,Medium,Winter,Weekend,0.2716967710957493,7568.187262129401
Air Conditioner,1511,5.032026493412525,5,10,2,Urban,Medium,Winter,Weekday,6.843052828391692,7568.187262129401
Television,91,3.648216427317157,2,2,2,Urban,Medium,Winter,Weekday,0.31074048241316615,7568.187262129401
Microwave,1042,1.4921152555054493,3,4,2,Urban,Medium,Winter,Weekday,1.4272918003452708,7568.187262129401
Fan,30,6.122847955023248,3,7,2,Urban,Medium,Winter,Weekday,0.17799119005252584,7568.187262129401
Lighting,34,7.504119956048228,5,6,2,Urban,Medium,Winter,Weekend,0.21431766594473745,7568.187262129401
Water Heater,3022,8.28031452497606,5,1,2,Urban,Medium,Winter,Weekday,19.1426795282754,7568.187262129401
Computer,104,3.027558328386616,4,3,2,Urban,Medium,Winter,Weekend,0.2670064240970725,7568.187262129401
Refrigerator,232,10.827635337271296,4,9,4,Rural,High,Monsoon,Weekend,2.3713387599451123,5487.0215082284885
Washing Machine,540,0.43916985386751967,2,0,4,Rural,High,Monsoon,Weekday,0.2134365489796146,5487.0215082284885
Air Conditioner,1521,7.031150956866994,1,2,4,Rural,High,Monsoon,Weekend,10.56604803812996,5487.0215082284885
Television,113,9.146352745034767,1,3,4,Rural,High,Monsoon,Weekend,1.0407726252102512,5487.0215082284885
Microwave,957,0.4622003769994278,3,2,4,Rural,High,Monsoon,Weekday,0.39101597253699194,5487.0215082284885
Fan,78,2.00248619455197,5,9,4,Rural,High,Monsoon,Weekend,0.13823162200992248,5487.0215082284885
Lighting,62,4.21042345589955,1,10,4,Rural,High,Monsoon,Weekday,0.2975927298629802,5487.0215082284885
Water Heater,3036,2.3612045023207506,1,4,4,Rural,High,Monsoon,Weekday,7.3550009076409895,5487.0215082284885
Computer,187,2.9724867118551335,4,5,4,Rural,High,Monsoon,Weekend,0.48915241330288084,5487.0215082284885
Refrigerator,163,8.90663146863882,4,2,1,Rural,High,Summer,Weekday,1.2078817332509222,5844.855999605309
Washing Machine,524,0.5317461801971716,1,0,1,Rural,High,Summer,Weekday,0.264703248502152,5844.855999605309
Air Conditioner,1526,10.428787394737013,3,3,1,Rural,High,Summer,Weekend,14.338810937496183,5844.855999605309
Television,104,5.458266250003735,4,10,1,Rural,High,Summer,Weekday,0.5449533024003729,5844.855999605309
Microwave,995,1.0213682810352365,2,1,1,Rural,High,Summer,Weekend,0.9329280015803953,5844.855999605309
Fan,47,6.917720052489982,4,4,1,Rural,High,Summer,Weekend,0.28091477589151326,5844.855999605309
Lighting,78,8.900944363447222,2,5,1,Rural,High,Summer,Weekend,0.6873309237453945,5844.855999605309
Water Heater,3030,2.104831340304704,5,8,1,Rural,High,Summer,Weekday,5.548545896177229,5844.855999605309
Computer,138,4.2751893270392864,4,8,1,Rural,High,Summer,Weekday,0.5474978459779593,5844.855999605309
Refrigerator,218,13.106745907695478,3,4,3,Urban,High,Summer,Weekend,2.62297441803165,7299.182958507088
Washing Machine,494,0.43205464529566606,3,5,3,Urban,High,Summer,Weekday,0.1995617201156152,7299.182958507088
Air Conditioner,1474,11.246135006039044,3,6,3,Urban,High,Summer,Weekend,15.781116454954276,7299.182958507088
Television,81,8.520145339059402,4,8,3,Urban,High,Summer,Weekend,0.6404422848464171,7299.182958507088
Microwave,1026,1.2318612007856329,5,3,3,Urban,High,Summer,Weekend,1.0047922256448172,7299.182958507088
Fan,51,4.392857228453371,4,2,3,Urban,High,Summer,Weekday,0.18639771791773344,7299.182958507088
Lighting,98,3.640662931353087,4,5,3,Urban,High,Summer,Weekday,0.31397077119989025,7299.182958507088
Water Heater,2998,3.205909113646818,1,1,3,Urban,High,Summer,Weekday,9.313364741509051,7299.182958507088
Computer,156,2.229866153422726,2,6,3,Urban,High,Summer,Weekend,0.35064199289341685,7299.182958507088
Refrigerator,159,13.25403774288972,4,5,6,Rural,Low,Summer,Weekend,1.8545049609851298,5341.685781635666
Washing Machine,460,0.33324540446211864,3,2,6,Rural,Low,Summer,Weekend,0.13551091127047593,5341.685781635666
Air Conditioner,1544,5.983493138891711,1,0,6,Rural,Low,Summer,Weekend,8.776587736126361,5341.685781635666
Television,62,6.175915542295018,3,0,6,Rural,Low,Summer,Weekday,0.3254707490789474,5341.685781635666
Microwave,1004,0.6771424698449862,1,5,6,Rural,Low,Summer,Weekend,0.7104443365119626,5341.685781635666
Fan,68,10.900778984621848,5,4,6,Rural,Low,Summer,Weekday,0.6004149064729715,5341.685781635666
Lighting,82,4.735850642475316,1,7,6,Rural,Low,Summer,Weekday,0.42057195215566295,5341.685781635666
Water Heater,2961,3.054236859470772,3,4,6,Rural,Low,Summer,Weekend,8.302020522939733,5341.685781635666
Computer,121,9.483999250728063,3,8,6,Rural,Low,Summer,Weekend,1.131498014607362,5341.685781635666
Refrigerator,150,13.897263746812456,1,2,1,Urban,Medium,Winter,Weekend,2.059574487277606,7584.111774768915
Washing Machine,536,1.6710579761467725,2,6,1,Urban,Medium,Winter,Weekend,0.9028525718163877,7584.111774768915
Air Conditioner,1524,5.6356358398333715,2,8,1,Urban,Medium,Winter,Weekday,8.966612216781925,7584.111774768915
Television,64,3.2570347838876677,4,1,1,Urban,Medium,Winter,Weekend,0.1700953845537496,7584.111774768915
Microwave,1043,0.23751635871376428,4,6,1,Urban,Medium,Winter,Weekday,0.2219656876760567,7584.111774768915
Fan,52,4.825502179943224,1,10,1,Urban,Medium,Winter,Weekend,0.28605576922703424,7584.111774768915
Lighting,55,3.5335454781040734,2,3,1,Urban,Medium,Winter,Weekday,0.18540513123612076,7584.111774768915
Water Heater,2972,6.745867070805275,4,5,1,Urban,Medium,Winter,Weekend,17.642870902301286,7584.111774768915
Computer,171,7.096939433075322,4,10,1,Urban,Medium,Winter,Weekend,1.1650335773336449,7584.111774768915
Refrigerator,176,13.211052870751402,4,7,5,Rural,Low,Monsoon,Weekday,2.120532518390049,6923.249063900551
Washing Machine,476,1.3776517237053476,4,8,5,Rural,Low,Monsoon,Weekday,0.6085473406089157,6923.249063900551
Air Conditioner,1534,7.267204321219662,1,3,5,Rural,Low,Monsoon,Weekend,11.22592666875222,6923.249063900551
Television,126,4.522915570882177,1,7,5,Rural,Low,Monsoon,Weekend,0.6171880129714402,6923.249063900551
Microwave,952,2.200580001962092,1,10,5,Rural,Low,Monsoon,Weekend,2.388245464529419,6923.249063900551
Fan,97,5.421495619020746,1,8,5,Rural,Low,Monsoon,Weekday,0.5795253526996036,6923.249063900551
Lighting,61,3.6024025930322527,3,5,5,Rural,Low,Monsoon,Weekend,0.20546303189359452,6923.249063900551
Water Heater,2964,3.3451664417049436,1,6,5,Rural,Low,Monsoon,Weekday,10.549638026539114,6923.249063900551
Computer,140,3.9812747705719707,2,5,5,Rural,Low,Monsoon,Weekend,0.5518046832012753,6923.249063900551
Refrigerator,161,9.25640289562469,1,3,1,Rural,Low,Summer,Weekday,1.500712832258944,6621.425744079653
Washing Machine,537,1.1833377255565352,4,2,1,Rural,Low,Summer,Weekday,0.5286963623750511,6621.425744079653
Air Conditioner,1533,12.963352762387832,3,5,1,Rural,Low,Summer,Weekday,18.581086498732414,6621.425744079653
Television,78,1.5405765043063875,2,0,1,Rural,Low,Summer,Weekday,0.10814847060230841,6621.425744079653
Microwave,1005,1.1272135734697544,5,6,1,Rural,Low,Summer,Weekend,0.9515936987231667,6621.425744079653
Fan,63,13.136048752334956,4,3,1,Rural,Low,Summer,Weekday,0.7017802685447427,6621.425744079653
Lighting,25,4.24612619302105,4,3,1,Rural,Low,Summer,Weekend,0.09001787529204627,6621.425744079653
Water Heater,2992,1.3865113676352259,1,9,1,Rural,Low,Summer,Weekday,4.650403495412311,6621.425744079653
Computer,124,4.188931334986934,2,1,1,Rural,Low,Summer,Weekend,0.4768344317242327,6621.425744079653
Refrigerator,247,12.986130735405508,3,10,4,Urban,Medium,Summer,Weekend,3.2717257774780637,9012.183781190177
Washing Machine,489,0.29284633754785755,4,7,4,Urban,Medium,Summer,Weekday,0.13060009546354295,9012.183781190177
Air Conditioner,1541,14.794657814686765,5,1,4,Urban,Medium,Summer,Weekend,17.440904284710715,9012.183781190177
Television,59,4.265597449186506,3,0,4,Urban,Medium,Summer,Weekday,0.21391971207670327,9012.183781190177
Microwave,974,0.655827341257072,1,7,4,Urban,Medium,Summer,Weekend,0.6917942243062924,9012.183781190177
Fan,63,10.197999463186557,4,5,4,Urban,Medium,Summer,Weekday,0.5653770902390628,9012.183781190177
Lighting,102,3.819624412276112,3,2,4,Urban,Medium,Summer,Weekday,0.34440789400611244,9012.183781190177
Water Heater,2955,4.885338505035989,1,3,4,Urban,Medium,Summer,Weekend,14.537228509358016,9012.183781190177
Computer,198,1.7164372040354066,2,8,4,Urban,Medium,Summer,Weekday,0.35480816732056697,9012.183781190177
Refrigerator,204,16.670666316564514,2,8,6,Rural,High,Winter,Weekend,3.5504518294366436,7804.992540218713
Washing Machine,532,1.545552263772243,4,0,6,Rural,High,Winter,Weekday,0.6577870434614668,7804.992540218713
Air Conditioner,1485,2.913326632924213,2,3,6,Rural,High,Winter,Weekend,4.1272807075974045,7804.992540218713
Television,97,7.744453566151253,1,9,6,Rural,High,Winter,Weekday,0.8421086474225887,7804.992540218713
Microwave,985,1.0197049601339427,1,5,6,Rural,High,Winter,Weekend,1.0496078080898708,7804.992540218713
Fan,31,2.199586334546315,1,10,6,Rural,High,Winter,Weekday,0.07773338106286677,7804.992540218713
Lighting,94,5.624879022813655,4,6,6,Rural,High,Winter,Weekday,0.4737498108174574,7804.992540218713
Water Heater,3030,7.636883584489608,5,10,6,Rural,High,Winter,Weekend,20.825781534903157,7804.992540218713
Computer,159,6.431810760050601,4,6,6,Rural,High,Winter,Weekday,0.9163014881198489,7804.992540218713
Refrigerator,247,11.508281069115247,5,10,2,Rural,Low,Summer,Weekday,2.5582908816643193,8666.736003829043
Washing Machine,545,0.8324335018447698,3,0,2,Rural,Low,Summer,Weekday,0.3856248197295897,8666.736003829043
Air Conditioner,1485,13.40402941300302,2,8,2,Rural,Low,Summer,Weekday,20.7808029601551,8666.736003829043
Television,90,3.6173311281272413,3,3,2,Rural,Low,Summer,Weekday,0.293329381179838,8666.736003829043
Microwave,1044,0.3614793044309358,1,0,2,Rural,Low,Summer,Weekday,0.35851517413460215,8666.736003829043
Fan,43,4.259231296100737,4,9,2,Rural,Low,Summer,Weekday,0.17289071677132106,8666.736003829043
Lighting,29,3.466023601502667,2,3,2,Rural,Low,Summer,Weekday,0.0958910089591728,8666.736003829043
Water Heater,2954,3.797060725430414,3,7,2,Rural,Low,Summer,Weekend,10.868805344050879,8666.736003829043
Computer,170,3.3019113738916612,1,6,2,Rural,Low,Summer,Weekday,0.5972497293095238,8666.736003829043
Refrigerator,235,17.465566898929985,2,6,4,Rural,High,Summer,Weekend,4.137243487018535,7430.42070465273
Washing Machine,547,1.4551118493552972,3,8,4,Rural,High,Summer,Weekend,0.7848029350549848,7430.42070465273
Air Conditioner,1525,5.77082564021153,4,6,4,Rural,High,Summer,Weekday,7.885256154785036,7430.42070465273
Television,64,4.709364480973234,1,5,4,Rural,High,Summer,Weekday,0.3149622964874899,7430.42070465273
Microwave,1027,1.6702930175887578,4,0,4,Rural,High,Summer,Weekday,1.3723127432509235,7430.42070465273
Fan,77,14.17831986917625,3,9,4,Rural,High,Summer,Weekend,1.0950058218163508,7430.42070465273
Lighting,102,7.0063046585212065,4,0,4,Rural,High,Summer,Weekday,0.5717144601353304,7430.42070465273
Water Heater,2985,5.636812934918746,4,3,4,Rural,High,Summer,Weekend,14.268351845901126,7430.42070465273
Computer,137,4.779999323570293,5,4,4,Rural,High,Summer,Weekday,0.5304365249365955,7430.42070465273
Refrigerator,173,14.71898546960442,4,8,3,Rural,Medium,Winter,Weekend,2.363044803232172,12292.631220657448
Washing Machine,482,1.4043272721863291,5,5,3,Rural,Medium,Winter,Weekday,0.5584307397848938,12292.631220657448
Air Conditioner,1495,3.1473154448599763,1,0,3,Rural,Medium,Winter,Weekday,4.469974760562382,12292.631220657448
Television,53,3.261800983898775,1,2,3,Rural,Medium,Winter,Weekday,0.17080094672087545,12292.631220657448
Microwave,953,1.8926396071778915,5,6,3,Rural,Medium,Winter,Weekend,1.5150958583380456,12292.631220657448
Fan,57,2.481231865353675,2,3,3,Rural,Medium,Winter,Weekend,0.13492442637420216,12292.631220657448
Lighting,41,4.29017712228732,3,7,3,Rural,Medium,Winter,Weekday,0.17044444689135294,12292.631220657448
Water Heater,3010,15.457097587177241,5,9,3,Rural,Medium,Winter,Weekend,41.17538940760209,12292.631220657448
Computer,172,4.659558585154044,5,5,3,Rural,Medium,Winter,Weekend,0.6611913632333589,12292.631220657448
Refrigerator,201,14.555333465399135,3,9,2,Rural,Medium,Winter,Weekend,2.9343988926248614,5548.849867551137
Washing Machine,462,1.3489609399964906,2,0,2,Rural,Medium,Winter,Weekday,0.5608979588505408,5548.849867551137
Air Conditioner,1506,2.7631217102096555,3,0,2,Rural,Medium,Winter,Weekday,3.53707210123938,5548.849867551137
Television,106,5.31413357276502,4,5,2,Rural,Medium,Winter,Weekday,0.49570237966752123,5548.849867551137
Microwave,998,1.4328568837825,1,5,2,Rural,Medium,Winter,Weekend,1.4943407726656073,5548.849867551137
Fan,86,1.5473087542310764,4,5,2,Rural,Medium,Winter,Weekday,0.11710032652020787,5548.849867551137
Lighting,14,2.3354539270542314,1,10,2,Rural,Medium,Winter,Weekday,0.037273844675785525,5548.849867551137
Water Heater,2975,6.13327761770375,5,0,2,Rural,Medium,Winter,Weekday,13.684875684501494,5548.849867551137
Computer,130,2.124801287949342,2,2,2,Rural,Medium,Winter,Weekend,0.25854582071767596,5548.849867551137
Refrigerator,158,13.756164671861914,4,5,5,Rural,Low,Winter,Weekday,1.9126571359756805,6176.648051612579
Washing Machine,509,0.8446585234689084,1,2,5,Rural,Low,Winter,Weekend,0.42477201418432625,6176.648051612579
Air Conditioner,1491,3.6405298269824615,4,9,5,Rural,Low,Winter,Weekday,5.124060293597124,6176.648051612579
Television,77,4.409176619856538,1,1,5,Rural,Low,Winter,Weekday,0.3289818951373559,6176.648051612579
